"CSV_File","Optimal_Gain"
"Te_3648_97.csv",2626
"Te_3654_97.csv",2372
"Te_3660_97.csv",2574
"Te_3666_97.csv",2532
"Te_3672_97.csv",2667
"Te_3678_97.csv",2761
"Te_3684_97.csv",2731
"Te_3690_97.csv",2685
"Te_3648_98.csv",2508
"Te_3654_98.csv",2381
"Te_3660_98.csv",2559
"Te_3666_98.csv",2669
"Te_3672_98.csv",2821
"Te_3678_98.csv",2428
"Te_3684_98.csv",2645
"Te_3690_98.csv",2832
"Te_3648_99.csv",2341
"Te_3654_99.csv",2564
"Te_3660_99.csv",2688
"Te_3666_99.csv",2574
"Te_3672_99.csv",2650
"Te_3678_99.csv",2759
"Te_3684_99.csv",2815
"Te_3690_99.csv",2740
"Te_3648_100.csv",2347
"Te_3654_100.csv",2484
"Te_3660_100.csv",2565
"Te_3666_100.csv",2663
"Te_3672_100.csv",2846
"Te_3678_100.csv",2628
"Te_3684_100.csv",2708
"Te_3690_100.csv",2811
